5371921;2;Dl. 15. 20 september 1839 : Eerste trein Amsterdam-Haarlem : 1830-1848 / tekst: Mariska Vonk;2005;;;
1938655;9918;A5 Westrandweg Amsterdam : toetsingsadvies over het milieueffectrapport / Commissie voor de milieueffectrapportage;2006;Utrecht;Commissie voor de milieueffectrapportage;
959936;437;Aa-Vermeulen, Cora;;;;
687627;501;Aa-Vermeulen, Cora;;;;
687145;433;Aa, Gerrit van der;;;;
687146;434;Aa, H.J. van der;;;;
687147;435;Aa, Martinus Wilhelmus van der;;;;
687148;436;Aa, Petrus Johannus van der;;;;
719436;83398;aaa ooo eee confetti 25 / Melle Hammer;1991;Amsterdam;Hammer;30 pagina's
687569;438;Aafjes, Diana;;;;
687570;439;Aafjes, Th.;;;;
687571;440;Aahlberg, Ragnar;;;;
24987227;142998;"Aaibaar beton : dertig jaar bouwontwikkeling in het AMC / Tekst: Noor Mens ... [et al.] ; voorwoord: Marcel Levi";2011;Amsterdam;Kunststichting AMC;199 pagina's
687572;441;Aaken, George Karel Gerardus van;;;;
959937;442;Aaken, George Karel Gerardus van;;;;
687573;443;Aal, H.;;;;
687574;444;Aal, J.W.;;;;
687575;445;Aalbers, H.;;;;
687576;446;Aalbersberg, J.;;;;
687577;447;Aalbersberg, Q.;;;;
687578;448;Aalberse, J.M.B.;;;;
687579;449;Aaldenberg, Magda;;;;
687580;450;Aalderen, Hendrik van;;;;
687581;451;Aalderink;;;;
687582;452;Aalderink, Gerard A.;;;;
687583;453;Aalderink, Jac.;;;;
687584;459;Aalders H. Wzn, G.J.D.;;;;
687585;454;Aalders, C. Ch.;;;;
687586;455;Aalders, E.J.;;;;
687587;456;Aalders, Gerhard Charles;;;;
687588;457;Aalders, Gerhard Charles;;;;
687589;458;Aalders, Gerrit;;;;
687590;460;Aalders, J.;;;;
687591;462;Aalders, J.C.;;;;
687592;461;Aalders, Jacobus;;;;
687593;463;Aalders, M.;;;;
687594;464;Aalders, Wim;;;;
772581;5377;"Aaldoagsch geproat / deur Jan Bos ; bezorgd en van een uitleiding 'Wie was Jan Bos?' voorz. door Hans Werkman";1983;Groningen;Stabo/All-Round;
7866392;1027;"Aalmoeseniers weeshuis en inrichting voor stadsbestedelingen; 1 Januari 1666 - 1 Januari 1916. / W.F. van Voorst";;;;
749714;107169;"Aalmoeseniers weeshuis en inrichting voor stadsbestedelingen; 1 Januari 1666 - 1 Januari 1916. / W.F. van Voorst";;;;
749711;107166;Aalmoeseniersweeshuis.;1804;;;
749712;107167;Aalmoezeniersweeshuis.;1804;;;
749596;107051;Aalmoezeniersweeshuis. Regenten van het Aalmoezeniersweeshuis aan de Burgemeesteren der stad Amsterdam.;1820;;;
659710;58254;Aalsmeer : grepen en beelden uit 750 jaar werken en leven van kerk en volk / Herman van der Linde;1976;Aalsmeer, Dahliastraat;Restauratiecommissie Nederlandse Hervormde Kerk;235 pagina's
4681503;;Aalsmeer in oude ansichten / J.M. Wentzel;1969-1975;Zaltbommel;Europese Bibliotheek;2 delen
4681409;;Aalsmeerse stambomen / Stichting 'Oud Aalsmeer', Commissie Genealogie;1985-1987;Aalsmeer;Stichting 'Oud Aalsmeer';2 delen
687595;465;Aalst, C.J.K. van;;;;
959938;466;Aalst, C.J.K. van;;;;
687596;467;Aalten, W.K. van;;;;
756955;110560;Aaltje / O.A. Corver;1978;Den Haag;;
